jobs_type,title,jobs_text,URLs
tools, Eccomerce Bot Developer ,"""We are looking for somebody who is able to create an automated bot for eccomerce purposes which can include price tracking and (most importantly) auto checkout from price drops. 
 
At the moment, we source mid-competition products and are able to achieve this mainly with manual methods. The products are not the most competitive products out there but will still sell quite quickly. 
 
The budget for the project is just a starting point. It would be great to build a relationship with someone and to get any nessecary updates over time. 
 
It would also be great to get some professional advice on safe using of the bot (avoiding cancellations/suspensions). 
 
The right person is simply someone who knows this area and how to do the job. 
 
When applying, please mention ""purple cow"" just to show you have read this and it's not an automated copy/paste application. 
 
We can handle payment within Upwork so both parties are protected. 
 
Before starting, it would be great to discuss the project and what is involved (for example: the site in question we want to source from). 
 
Looking for a long term relationship for any releveant future projects as well. 
 
To apply, simply let me know what you think (informally) of the above and any questions. I can give more specifics. 
 
Many thanks 
 
James and Nick""",https://www.upwork.com/jobs/~014061143c638566ae
tools, Expert Python Developer | Web Scraping Expert ,"""Hi  
 
We are looking for an experienced Web scraping & Data Mining Expert to help with large volume product data script.  
•	Script must be very Fast  
•	Script must be able to scrap large Volumes of data 
•	Set up script on the server and must be automated 
•	Script must use Proxies  
•	Python / Beautiful Soup / Selenium / Scrapy  
 
(link removed) 
 
Please see highlighted section in screenshots below 
 
1.	(link removed) 
2.	(link removed) 
3.	(link removed) 
4.	(link removed) 
 
 
""",https://www.upwork.com/jobs/~017869e793fbcdd6cb
data, Product Data Scraping + Quality ,"""Our client is a wholesaler in construction supplies. They have made a deal with another company to resell their products. But the company is not providing any product data. They state the client has to take it from their website. 
 
So therefore we are in need of someone that can help with the scraping of data from this company website.  
 
All products that result from the below query should be scraped and exported in Excel/CSV: 
 
 
All images should be saved seperately (in a logical way), so that all downloads can be re-uploaded to the client website after editing in Excel (price adjustment etc.).  
 
The job is straight forward. Looking for someone that can scrape this automatically, without too much hassle. No manual labor.""",https://www.upwork.com/jobs/Product-Data-Scraping-Quality_~01c0c5661543d49705?source=rss
data, Product Image Extraction_February2022 ,"""Extract the Product images and documents for the given part numbers from the addressed website. 
and save the images into a separate folder and capture the Image name in the excel.""",https://www.upwork.com/jobs/Product-Image-Extraction_February2022_~01810418d1d35fd088?source=rss
tools, Scraping data from a website and put it in excel file ,"""Hello, 
 
I want to create a web scrapping bot that get information from a webpage and compare the price and the other criteria that I choose.  
For exemple the bot will search in all the toys in ""target.com"" website and compare (based on the criteria chosen) . Later the products which i expect will appear in excel file with  amazon link. 
 
Let me know if you have any question. If you are eligible to do that, we will discuss further details. 
 
Thanks""",https://www.upwork.com/jobs/Scraping-data-from-website-and-put-excel-file_~011fc7601c36ae3fae?source=rss
data, Data extraction - All product informations of a website ,"""Hello,  
 
I would like to have all the informations of all products on this website (around 4K product pages) 
 
 
You'll find joined an exemple of the information needed for the product page : """,https://www.upwork.com/jobs/Data-extraction-All-product-informations-website_~016637ef30d8416713?source=rss
tools, Scrape Shopify Products & Import To Woocom ,"""I want to do this job give this offer to me i will do my best""",https://www.upwork.com/jobs/Scrape-Shopify-Products-amp-Import-Woocom_~01a35c0194ab78a849?source=rss
tools, Ecommerce scraping for Nordstrom ,"""I'm looking for some help in writing robust scrapers for Nordstrom. 
 
- I'm looking to scrape all products from Nordstrom US. 
- The scraper should be able to bypass each website's anti-scraping protections (if there are any). 
- The scraper should be able to be run daily (if possible, otherwise weekly is fine). If the product's price or availability changes, the changes should be updated in the database. 
- The scraper should be deployed onto EC2. AWS IAM credentials will be provided. 
- The data should be ingested into a Postgres database. The schema for the database will be provided. The credentials for the database will be provided. 
- Choice of language is ideally in TypeScript, but Python or Ruby is fine as well. 
 
Please note, if the scraper is not able to work, there will be no payment. 
 
I repeat, there is no payment if you don't successfully complete a working scraper that can work in production for at least 1 week. Do not pick this job unless you are confident that you can bypass Nordstrom's anti-scraping protections. 
 
Deliverables: 
- Running scraper in EC2 
- Full code for the scraper, including all dependencies and instructions how to use it""",https://www.upwork.com/jobs/Ecommerce-scraping-for-Nordstrom_~01f91b50ae29a45b9f?source=rss
tools," Write script to scrape Ebay a seller's listings: item title, price, quantity sold ","""I need a python script (or ebay API) to scrape an ebay seller's listings. For example user:  . 
 
Seller has 635 items so there should be pagination if possible since ebay can only display 200 items at a time.  
 
Scrape: item title, price, and quantity sold.  
 
Output to CSV.""",https://www.upwork.com/jobs/Ebay-scrape-all-seller-listings-item-title-price-quantity-sold_~017b2a796f010c9b3b?source=rss
tools, Looking for Webscraper with Shopify Data-feed managmenet experience ,"""Hi there, 
 
Looking for someone who can connect our datafeed sheet of 12,000 products with our Shopify store. 
 
For each product row on the sheet, you will have to: 
 
1) Find the URL of the match  on internet and scrape the product page details. 
 
2) You will have to correctly upload all the datafeed product details (including scraped data) onto the shopify store. 
 
3) The youtube video matching the product has to be found and uploaded as well on the respective product page. 
 
As new products become available on the sheet the scraping, product upload needs to be repeated over and over again. 
 
Please note that this is a bulk automation project NOT a manual one-by-one edit and upload. 
 
In your proposal, please explain in detail what is your solution to tackling every single point mentioned above. 
 
If you do not explain your solution and timeline in detail, your proposal may get ignored and not responded. 
 
Thanks, 
 
Hani""",https://www.upwork.com/jobs/Looking-for-Webscraper-with-Shopify-Data-feed-managmenet-experience_~01127674357f3ce86f?source=rss
